model,runs,detected,detection_rate,avg_steps,avg_tool_calls,avg_wall_s,total_tok_in,total_tok_out,avg_tok_per_run,total_cost_usd,avg_cost_usd
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,100,50,0.5,15.64,13.2,69.3068,9411395,40190,94515.85,2.3314,0.0233
claude-sonnet-4-5@claude-cli,20,13,0.65,8.3,4.8,36.484,1333,3032,218.25,0.0,0.0
deepseek-v4-flash,100,63,0.63,29.09,34.25,237.8441,28482683,927651,294103.34,2.55,0.0255
gemini-3.1-flash-lite,100,55,0.55,8.28,3.33,62.1377,476300,925,4772.25,0.357,0.0036
gemma-4-31b-it,100,75,0.75,21.01,18.77,430.1909,16723979,321543,170455.22,0.695,0.007
gpt-5.4-mini@codex-cli,20,15,0.75,5.05,8.8,99.5805,2566333,112665,133949.9,0.0,0.0
mistral-small-latest,100,59,0.59,18.73,17.61,98.4354,11607553,162347,117699.0,3.0559,0.0306
mistralai/mistral-medium-3.5-128b,100,70,0.7,31.09,31.53,559.6788,22495278,296655,227919.33,3.124,0.0312
